,latitude,longitude,depth,deptho,deptho_lev,mask
570,0.083333336,121.916664,0.494025,773.0,34.0,1
571,0.083333336,122.0,0.494025,998.0,35.0,1
572,0.083333336,122.083336,0.494025,1123.023,36.0,1
573,0.083333336,122.166664,0.494025,1469.0,38.0,1
574,0.083333336,122.25,0.494025,1591.0,38.0,1
575,0.083333336,122.333336,0.494025,1467.0,38.0,1
576,0.083333336,122.416664,0.494025,1498.0,38.0,1
577,0.083333336,122.5,0.494025,1663.0,38.0,1
578,0.16666667,98.5,0.494025,18.0,11.0,1
579,0.16666667,98.583336,0.494025,,,0
580,0.16666667,98.666664,0.494025,,,0
581,0.16666667,98.75,0.494025,14.0,10.0,1
582,0.16666667,98.833336,0.494025,14.50097,10.0,1
583,0.16666667,98.916664,0.494025,32.0,15.0,1
584,0.16666667,99.0,0.494025,38.0,16.0,1
